,UF,Município,População,Casos novos notificados na semana epidemiológica,Casos Acumulados,Incidência covid-19 (100 mil hab),Óbitos novos notificados na semana epidemiológica,Óbitos Acumulados,Taxa mortalidade (100 mil hab),Letalidade (%), Casos por 100 mil (recalc),Óbitos por 100 mil (recalc)
120,AL,Taquarana,19980,0,1295,,0,33,,2.5482625482625485,6481.481481481481,165.16516516516515
121,AL,Teotônio Vilela,44169,1,3384,,0,78,,2.304964539007092,7661.4820349113625,176.59444406710588
122,AL,Traipu,27715,0,937,,0,30,,3.2017075773745995,3380.8406999819595,108.24463287028685
123,AL,União dos Palmares,65611,0,4325,,0,108,,2.4971098265895955,6591.882458734054,164.6065446342839
124,AL,Viçosa,25733,0,2812,,0,43,,1.5291607396870555,10927.602689154004,167.10061011152993
125,AM,Alvarães,16041,0,4124,,0,46,,1.1154219204655673,25709.120379028736,286.7651642665669
126,AM,Amaturá,11536,0,2663,,0,19,,0.7134810364250845,23084.257975034674,164.7018030513176
127,AM,Anamã,13614,0,2566,,0,11,,0.4286827747466875,18848.244454238284,80.79917731746731
128,AM,Anori,21010,0,2671,,0,33,,1.2354923249719205,12712.993812470253,157.06806282722513
129,AM,Apuí,21973,0,2549,,0,36,,1.4123185562965868,11600.600737268465,163.83743685432123
130,AM,Atalaia do Norte,19921,2,4377,,0,12,,0.2741603838245374,21971.788564831084,60.237939862456706
131,AM,Autazes,39565,0,4258,,0,103,,2.4189760450915925,10762.037154050297,260.3311007203336
132,AM,Barcelos,27502,4,5470,,0,61,,1.1151736745886656,19889.462584539306,221.80205075994476
133,AM,Barreirinha,32041,0,4164,,0,69,,1.6570605187319885,12995.849068381138,215.34908398614274
134,AM,Benjamin Constant,42984,1,4163,,0,90,,2.1619024741772757,9684.99906942118,209.38023450586263
135,AM,Beruri,19679,1,2998,,0,36,,1.200800533689126,15234.513948879516,182.93612480308957
136,AM,Boa Vista do Ramos,19207,0,1994,,0,14,,0.7021063189568706,10381.631696777216,72.89009215390223
137,AM,Boca do Acre,34308,0,5034,,0,34,,0.6754072308303536,14672.962574326686,99.10225020403405
138,AM,Borba,41161,0,4320,,0,71,,1.6435185185185184,10495.371832559948,172.49337965549913
139,AM,Caapiranga,13081,0,1178,,0,24,,2.037351443123939,9005.427719593303,183.47221160461737
140,AM,Canutama,15629,0,2080,,0,11,,0.5288461538461539,13308.593000191951,70.3819822125536
141,AM,Carauari,28294,0,8632,,0,60,,0.6950880444856349,30508.234961475933,212.05909380080584
142,AM,Careiro,37869,0,6915,,0,93,,1.3449023861171365,18260.31846629169,245.58345876574506
143,AM,Careiro da Várzea,30225,0,2446,,0,28,,1.1447260834014716,8092.6385442514475,92.63854425144747
144,AM,Coari,85097,0,12114,,0,249,,2.055473006438831,14235.51946602113,292.6072599504095
145,AM,Codajás,28637,0,3258,,0,28,,0.8594229588704727,11376.890037364248,97.77560498655585
146,AM,Eirunepé,35273,3,6075,,0,35,,0.5761316872427984,17222.804978312022,99.22603691208573
147,AM,Envira,20033,1,3754,,0,16,,0.42621204049014383,18739.080517146707,79.86821744122199
148,AM,Fonte Boa,17609,0,1907,,0,45,,2.3597273203985316,10829.689363393718,255.5511386222954
149,AM,Guajará,16678,0,2342,,0,32,,1.3663535439795047,14042.451133229402,191.86952872047007
150,AM,Humaitá,55080,0,12649,,0,160,,1.2649221282314806,22964.778503994192,290.48656499636894
151,AM,Ipixuna,29689,0,6819,,0,23,,0.3372928581903505,22968.102664286434,77.46976994846577
152,AM,Iranduba,48296,0,14502,,0,178,,1.227416908012688,30027.3314560212,368.56054331621664
153,AM,Itacoatiara,101337,1,18083,53.28754551644513,0,340,0.9868063984526876,1.8802189902118012,17844.42010321995,335.5141754739138
154,AM,Itamarati,7851,0,1135,,0,9,,0.7929515418502203,14456.75710100624,114.63507833397018
155,AM,Itapiranga,9148,0,4075,,0,46,,1.1288343558282208,44545.25579361609,502.8421512898994
156,AM,Japurá,2755,0,1267,,0,12,,0.9471191791633782,45989.11070780399,435.5716878402904
157,AM,Juruá,14712,0,1124,,0,19,,1.6903914590747333,7640.021750951605,129.14627514953781
158,AM,Jutaí,14317,1,5444,,0,44,,0.8082292432035268,38024.72585038765,307.32695397080397
159,AM,Lábrea,46069,8,10444,,0,87,,0.8330141708157793,22670.34231261803,188.84716403655386
160,AM,Manacapuru,97377,1,13147,,0,421,,3.2022514642123676,13501.134764882878,432.34028569374703
161,AM,Manaquiri,32105,0,3274,,0,55,,1.6799022602321318,10197.788506463168,171.31287961376734
162,AM,Manaus,2182763,69,324653,108.8986756693237,0,9999,0.5039484359960289,3.079903774183513,14873.488326492616,458.0891283203902
163,AM,Manicoré,55751,0,8998,,0,110,,1.2224938875305624,16139.62081397643,197.30587792147224
164,AM,Maraã,18224,0,2984,,0,23,,0.7707774798927614,16374.012291483758,126.2071992976295
165,AM,Maués,63905,0,8023,,0,139,,1.7325190078524244,12554.573194585713,217.51036695094282
166,AM,Nhamundá,21173,0,2364,,0,42,,1.7766497461928936,11165.163179521089,198.36584329098378
167,AM,Nova Olinda do Norte,37378,0,3272,,0,71,,2.1699266503667483,8753.812403017817,189.95130825619347
168,AM,Novo Airão,19454,0,3956,,0,37,,0.935288169868554,20335.149583633185,190.19224838079572
169,AM,Novo Aripuanã,25644,0,3566,,0,31,,0.8693213684800897,13905.786928716268,120.88597722664171
170,AM,Parintins,114273,0,12743,25.37782328284021,0,360,0.0,2.8250804363179784,11151.365589421823,315.03504764905097
171,AM,Pauini,19426,0,3735,,0,26,,0.6961178045515395,19226.80943065994,133.84124369401832
172,AM,Presidente Figueiredo,36279,0,8709,,0,123,,1.4123320702721323,24005.62308773671,339.03911353675676
173,AM,Rio Preto da Eva,33347,0,7603,,0,86,,1.131132447718006,22799.652142621526,257.89426335202563
174,AM,Santa Isabel do Rio Negro,25156,2,3246,,0,57,,1.756007393715342,12903.48227063126,226.58610271903325
175,AM,Santo Antônio do Içá,21602,0,2433,,0,50,,2.055076037813399,11262.846032774743,231.4600499953708
176,AM,São Gabriel da Cachoeira,45564,0,13313,,0,114,,0.8563058664463306,29218.24247212712,250.1975243613379
177,AM,São Paulo de Olivença,39299,0,6781,,0,68,,1.0028019466155436,17254.891981984274,173.03239268174764
178,AM,São Sebastião do Uatumã,14020,0,2205,,0,19,,0.8616780045351473,15727.53209700428,135.5206847360913
179,AM,Silves,9171,0,2316,,0,22,,0.9499136442141624,25253.516519463526,239.88659906226147
180,AM,Tabatinga,65844,0,5609,,0,130,,2.317703690497415,8518.619767936334,197.43636474090272
181,AM,Tapauá,17156,0,2397,,0,27,,1.1264080100125156,13971.788295640008,157.3793425040802
182,AM,Tefé,59849,90,14510,,0,207,,1.4266023432115782,24244.348276495846,345.87044060886564
183,AM,Tonantins,18755,0,2268,,0,43,,1.8959435626102292,12092.775259930686,229.27219408157828
184,AM,Uarini,13540,0,2558,,0,26,,1.016419077404222,18892.171344165436,192.02363367799114
185,AM,Urucará,16256,0,3407,,0,56,,1.6436747872028177,20958.415354330707,344.48818897637796
186,AM,Urucurituba,23065,0,3954,,0,40,,1.0116337885685383,17142.85714285714,173.42293518317797
187,AP,Amapá,9109,0,2186,,0,14,,0.6404391582799633,23998.243495444065,153.69414864419804
188,AP,Calçoene,11117,-9,3413,,0,15,,0.43949604453559915,30700.728613834664,134.92848790141224
189,AP,Cutias,5983,0,1202,,0,7,,0.5823627287853578,20090.2557245529,116.9981614574628
190,AP,Ferreira Gomes,7780,0,2281,,0,7,,0.3068829460762823,29318.76606683805,89.97429305912597
191,AP,Itaubal,5503,0,984,,0,3,,0.3048780487804878,17881.155733236417,54.51571869889151
192,AP,Laranjal do Jari,50410,0,11312,,0,98,,0.8663366336633664,22439.992065066454,194.40587185082325
